Chinese_score,top_k_avg_scores,year,Type
-0.2310154642071152,-0.07521115092529848,1800,Politics
0.1530395981577836,0.1670317034075028,1810,Politics
-0.11761148401623425,-0.10400238804183722,1820,Politics
0.017458518761710076,0.2239370996232402,1830,Politics
0.41269032815670964,0.3223828271844658,1840,Politics
0.5987499255733236,0.18590384386348724,1850,Politics
0.330656664213977,0.029288921380165693,1860,Politics
0.49948464294047146,0.47389332206807616,1870,Politics
0.04350317344954281,0.3615557373627027,1880,Politics
0.7121447549183795,0.4389660704681574,1890,Politics
0.6587581749803365,0.5882412891412329,1900,Politics
0.786162530784427,0.4490688247241733,1910,Politics
0.36112053111994036,0.14397095917583266,1920,Politics
1.081676538527258,0.49273545451373724,1930,Politics
0.5770416372278536,0.6251442390730974,1940,Politics
0.4658301658566918,0.4587694906478616,1950,Politics
1.0010054945772004,0.3175918054372695,1960,Politics
0.0674204128488999,0.09352929473824383,1970,Politics
0.33276334711975153,-0.0035685370268699968,1980,Politics
0.5578113936237142,0.20548785921602733,1990,Politics
