Chinese_score,top_k_avg_scores,year,Type
0.5518744880522257,0.29258047564352413,1800,Religion
0.9741231828781259,0.5543638552449629,1810,Religion
0.939236894581579,0.6794596292487942,1820,Religion
0.782975683592502,0.45528978958922395,1830,Religion
1.0825587777229975,0.4374385117239341,1840,Religion
0.9691853520845446,0.6647013617441059,1850,Religion
0.8430122159794784,0.5699064708821954,1860,Religion
1.2209509746513663,0.7523692545777984,1870,Religion
0.9759284203433756,0.5785117840740787,1880,Religion
0.8460970360359573,0.6610949692980146,1890,Religion
1.2401814181306767,0.8125270675524947,1900,Religion
0.9123016848686515,0.6562965009995854,1910,Religion
1.246738457037993,0.7603275673889852,1920,Religion
1.1671178202040287,0.8762107089596335,1930,Religion
1.1514828855537083,0.8649515406434035,1940,Religion
1.2125471569899717,0.6636072224301762,1950,Religion
1.204024452537966,0.3493532637372661,1960,Religion
1.043570070620883,0.13998910295424472,1970,Religion
1.056789677214808,0.22551120146150402,1980,Religion
0.7343571227821185,0.34658648849786045,1990,Religion
